"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"TPW","TEMPLE & WEBSTER GROUP LTD","Consumer Discretionary Distribution & Retail","10/12/2015",1241630263
"TRA","TURNERS AUTOMOTIVE GROUP LIMITED","Consumer Discretionary Distribution & Retail","28/07/2017",383455010
"TRE","TOUBANI RESOURCES LIMITED","Class Pend","28/11/2022",25099812
"TRI","TRIVARX LTD","Health Care Equipment & Services","29/01/2001",11060535
"TRJ","TRAJAN GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","07/06/2021",152216085
"TRM","TRUSCOTT MINING CORPORATION LIMITED","Materials","18/04/2007","--"
"TRP","TISSUE REPAIR LTD","Pharmaceuticals, Biotechnology & Life Sciences","18/11/2021",13302265
"TRS","THE REJECT SHOP LIMITED","Consumer Discretionary Distribution & Retail","01/06/2004",145149746
"TRU","TRUSCREEN GROUP LIMITED","Health Care Equipment & Services","06/01/2021",10499231
"TSI","TOP SHELF INTERNATIONAL HOLDINGS LTD","Food, Beverage & Tobacco","10/12/2020",36518276
"TSK","TASK GROUP HOLDINGS LIMITED","Software & Services","25/11/2020",297533095
"TSL","TITANIUM SANDS LIMITED","Materials","22/12/1988",13270483
"TSO","TESORO GOLD LTD","Materials","28/01/2004",52871970
"TTA","TTA HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","16/02/2006","SUSPENDED"
"TTI","TRAFFIC TECHNOLOGIES LTD.","Transportation","17/02/1998",5546989
"TTM","TITAN MINERALS LIMITED","Materials","15/11/2006",45442008
"TTT","TITOMIC LIMITED","Materials","21/09/2017",93989135
"TUA","TUAS LIMITED","Telecommunication Services","30/06/2020",1865515084
"TVL","TOUCH VENTURES LIMITED","Financial Services","29/09/2021",56441887
"TVN","TIVAN LIMITED","Materials","18/02/1971",82076864
"TWD","TAMAWOOD LIMITED","Consumer Durables & Apparel","14/08/2000",95750930
"TWE","TREASURY WINE ESTATES LIMITED","Food, Beverage & Tobacco","10/05/2011",9355746911
"TWR","TOWER LIMITED","Insurance","28/09/1999",275125891
"TX3","TRINEX MINERALS LIMITED","Materials","06/04/2017",5440957
"TYP","TRYPTAMINE THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/12/2018","SUSPENDED"
"TYR","TYRO PAYMENTS LIMITED","Financial Services","06/12/2019",453308797
"TYX","TYRANNA RESOURCES LIMITED","Materials","11/07/2007",29591328
"TZL","TZ LIMITED","Technology Hardware & Equipment","22/01/1987",6414578
"TZN","TERRAMIN AUSTRALIA LIMITED.","Materials","23/12/2003",65613444
"UBI","UNIVERSAL BIOSENSORS INC.","Health Care Equipment & Services","13/12/2006",38748767
"UBN","URBANISE.COM LIMITED","Software & Services","22/09/2014",21821373
"UCM","USCOM LIMITED","Health Care Equipment & Services","10/12/2003",5625515
"UNI","UNIVERSAL STORE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","16/11/2020",409689125
"UNT","UNITH LTD","Media & Entertainment","16/12/1999",19574998
"UOS","UNITED OVERSEAS AUSTRALIA LIMITED","Real Estate Management & Development","17/02/1988",921406354
"URF","US MASTERS RESIDENTIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","23/07/2012",213523805
"URW","UNIBAIL-RODAMCO-WESTFIELD","Equity Real Estate Investment Trusts (REITs)","31/05/2018",17769489770
"USL","UNICO SILVER LIMITED","Materials","19/04/2017",53829286
"UVA","UVRE LIMITED","Materials","07/06/2022",5733750
"VAR","VARISCAN MINES LIMITED","Materials","20/08/1987",2653003
"VBC","VERBREC LIMITED","Capital Goods","11/12/2007",36084718
"VBS","VECTUS BIOSYSTEMS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/02/2016",6651170
"VCX","VICINITY CENTRES","Equity Real Estate Investment Trusts (REITs)","05/12/2011",8922459702
"VEA","VIVA ENERGY GROUP LIMITED","Energy","13/07/2018",5581826968
"VEE","VEEM LTD","Capital Goods","26/10/2016",257961959
"VEN","VINTAGE ENERGY LTD","Energy","17/09/2018",18364844
"VFX","VISIONFLEX GROUP LIMITED","Health Care Equipment & Services","09/06/2015",8501947
"VG1","VGI PARTNERS GLOBAL INVESTMENTS LIMITED","Not Applic","28/09/2017",568676823
"VGL","VISTA GROUP INTERNATIONAL LIMITED.","Software & Services","11/08/2014",404049543
"VHM","VHM LIMITED","Materials","09/01/2023",100780362
"VHT","VOLPARA HEALTH TECHNOLOGIES LIMITED","Health Care Equipment & Services","27/04/2016","SUSPENDED"
"VIG","VICTOR GROUP HOLDINGS LIMITED","Software & Services","09/05/2014","SUSPENDED"
"VIP","VIP GLOVES LTD","Health Care Equipment & Services","05/02/1997","SUSPENDED"
"VIT","VITURA HEALTH LIMITED","Health Care Equipment & Services","07/11/2019",51828641
"VKA","VIKING MINES LIMITED","Materials","12/05/2010",11277843
"VLS","VITA LIFE SCIENCES LIMITED..","Pharmaceuticals, Biotechnology & Life Sciences","23/08/2007",119291749
"VMC","VENUS METALS CORPORATION LIMITED","Materials","12/06/2007",17075581
"VMG","VDM GROUP LIMITED","Capital Goods","15/02/2006","SUSPENDED"
"VML","VITAL METALS LIMITED","Materials","11/10/2005",17685201
"VMM","VIRIDIS MINING AND MINERALS LIMITED","Materials","24/01/2022",107746459
"VMS","VENTURE MINERALS LIMITED","Materials","22/09/2006",49866953
"VMT","VMOTO LIMITED","Automobiles & Components","31/01/2002",54702663
"VN8","VONEX LIMITED..","Telecommunication Services","13/06/2018",3980115
"VNL","VINYL GROUP LTD","Software & Services","21/09/2010",109106600
"VNT","VENTIA SERVICES GROUP LIMITED","Capital Goods","19/11/2021",3036969780
"VPR","VOLT POWER GROUP LIMITED","Utilities","18/04/1991",10716208
"VR1","VECTION TECHNOLOGIES LTD","Software & Services","17/03/2017",25911546
"VR8","VANADIUM RESOURCES LIMITED","Materials","03/11/2017",31376811
"VRC","VOLT RESOURCES LIMITED","Materials","19/12/2003",20793391
"VRS","VERIS LIMITED","Commercial & Professional Services","25/06/2008",25503884
"VRX","VRX SILICA LIMITED","Materials","24/02/2011",34419334
"VRXNE","VRX SILICA LIMITED","Materials","24/02/2011",34419334
"VSL","VULCAN STEEL LIMITED","Materials","04/11/2021",926430433
"VSR","VOLTAIC STRATEGIC RESOURCES LTD","Energy","21/01/2011",8475753
"VTI","VISIONEERING TECHNOLOGIES INC.","Health Care Equipment & Services","28/03/2017",7118265
"VTM","VICTORY METALS LIMITED","Materials","22/07/2021",21977907
"VTX","VERTEX MINERALS LIMITED","Materials","17/01/2022",9496489
"VUK","VIRGIN MONEY UK PLC","Banks","03/02/2016",5250714378
"VUL","VULCAN ENERGY RESOURCES LIMITED","Materials","30/05/2018",877572341
"VVA","VIVA LEISURE LIMITED","Consumer Services","07/06/2019",125046183
"VYS","VYSARN LIMITED","Materials","14/12/2007",130759209
"W2V","WAY 2 VAT LTD.","Software & Services","17/09/2021",11360275
"WA1","WA1 RESOURCES LTD","Materials","08/02/2022",1288063644
"WA8","WARRIEDAR RESOURCES LIMITED","Materials","18/05/2011",34557080
"WAA","WAM ACTIVE LIMITED","Not Applic","11/01/2008",62275110
"WAF","WEST AFRICAN RESOURCES LIMITED","Materials","11/06/2010",1567350449
"WAG","THE AUSTRALIAN WEALTH ADVISORS GROUP LIMITED","Financial Services","16/02/2024",25284100
"WAK","WA KAOLIN LIMITED","Materials","26/11/2020",23815174
"WAM","WAM CAPITAL LIMITED","Not Applic","12/08/1999",1631040041
"WAR","WAM STRATEGIC VALUE LIMITED","Not Applic","28/06/2021",199038966
"WAT","WATERCO LIMITED","Consumer Durables & Apparel","23/03/1989",175865040
"WAX","WAM RESEARCH LIMITED","Not Applic","19/08/2003",213252234
"WBC","WESTPAC BANKING CORPORATION","Banks","18/07/1970",94021560476
"WBE","WHITEBARK ENERGY LTD","Energy","10/03/2004",2688005
"WBT","WEEBIT NANO LTD","Semiconductors & Semiconductor Equipment","21/12/2010",418716562
"WC1","WEST COBAR METALS LIMITED","Materials","01/10/2021",6726518
"WC8","WILDCAT RESOURCES LIMITED","Materials","04/08/2004",639479078
"WCN","WHITE CLIFF MINERALS LIMITED","Materials","14/12/2007",24365811
"WDS","WOODSIDE ENERGY GROUP LTD","Energy","18/11/1971",53146006090
"WEB","WEBJET LIMITED","Consumer Services","19/11/1997",3280859298
"WEC","WHITE ENERGY COMPANY LIMITED","Energy","23/07/1999",3963237
"WEL","WINCHESTER ENERGY LTD","Energy","23/09/2014",3061266
"WES","WESFARMERS LIMITED","Consumer Discretionary Distribution & Retail","15/11/1984",77573615693
"WFL","WELLFULLY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/05/2000","SUSPENDED"
"WGB","WAM GLOBAL LIMITED","Not Applic","22/06/2018",799334798
"WGN","WAGNERS HOLDING COMPANY LIMITED","Materials","08/12/2017",153847305
"WGR","WESTERN GOLD RESOURCES LIMITED.","Materials","23/07/2021",5071717
"WGX","WESTGOLD RESOURCES LIMITED.","Materials","06/12/2016",1094068506
"WHC","WHITEHAVEN COAL LIMITED","Energy","01/06/2007",6483656076
"WHF","WHITEFIELD INDUSTRIALS LIMITED","Not Applic","02/08/1971",607262650
"WHK","WHITEHAWK LIMITED","Software & Services","24/01/2018",7399620
"WIA","WIA GOLD LIMITED","Materials","09/03/2011",129118897
"WIN","WIDGIE NICKEL LIMITED","Materials","22/09/2021",13403873
"WKT","WALKABOUT RESOURCES LTD","Materials","07/11/2006",83907681
"WLD","WELLARD LIMITED","Food, Beverage & Tobacco","10/12/2015",17531260
"WLE","WAM LEADERS LIMITED","Not Applic","30/05/2016",1701001990
"WMA","WAM ALTERNATIVE ASSETS LIMITED","Not Applic","16/06/2014",188682832
"WMG","WESTERN MINES GROUP LTD","Materials","20/07/2021",29908682
"WMI","WAM MICROCAP LIMITED","Not Applic","28/06/2017",390097994
"WML","WOOMERA MINING LIMITED","Materials","15/09/2005",4872556
"WNR","WINGARA AG LTD","Food, Beverage & Tobacco","31/01/1990",2633138
"WNX","WELLNEX LIFE LIMITED","Food, Beverage & Tobacco","15/03/2017",36107277
"WOA","WIDE OPEN AGRICULTURE LTD","Food, Beverage & Tobacco","06/07/2018",4470468
"WOR","WORLEY LIMITED","Capital Goods","28/11/2002",7849697037
"WOT","WOTSO PROPERTY","Equity Real Estate Investment Trusts (REITs)","28/10/2011",153101004
"WOW","WOOLWORTHS GROUP LIMITED","Consumer Staples Distribution & Retail","12/07/1993",38382264608
"WPR","WAYPOINT REIT","Equity Real Estate Investment Trusts (REITs)","03/08/2016",1625900559
"WQG","WCM GLOBAL GROWTH LIMITED","Not Applic","23/06/2017",263039340
"WR1","WINSOME RESOURCES LIMITED","Materials","30/11/2021",265191221
"WRK","WRKR LTD","Software & Services","19/12/2016",39419260
"WSI","WESTSTAR INDUSTRIAL LIMITED","Materials","07/06/2006",13845655
"WSR","WESTAR RESOURCES LIMITED","Materials","17/12/2020",2600642
"WTC","WISETECH GLOBAL LIMITED","Software & Services","11/04/2016",32871192839
"WTL","WT FINANCIAL GROUP LIMITED","Financial Services","09/03/2015",23067936
"WTM","WARATAH MINERALS LIMITED","Materials","29/10/2012",19730095
"WTN","WINTON LAND LIMITED","Real Estate Management & Development","17/12/2021",622888846
"WWG","WISEWAY GROUP LIMITED","Transportation","31/10/2018",14052685
"WWI","WEST WITS MINING LIMITED","Materials","19/12/2007",38071259
"WYX","WESTERN YILGARN NL","Materials","25/05/2007",3676300
"WZR","WISR LIMITED","Financial Services","16/03/1989",52122038
"X2M","X2M CONNECT LIMITED","Technology Hardware & Equipment","22/09/2021",13443769
"X64","TEN SIXTY FOUR LIMITED","Materials","23/12/2003","SUSPENDED"
"XAM","XANADU MINES LTD","Materials","21/12/2010",130416457
"XF1","XREF LIMITED","Software & Services","18/04/2007",30253323
"XGL","XAMBLE GROUP LIMITED","Media & Entertainment","06/07/2015",7700085
"XPN","XPON TECHNOLOGIES GROUP LIMITED","Software & Services","16/12/2021",5004123
"XRF","XRF SCIENTIFIC LIMITED","Capital Goods","31/10/2006",170565078
"XRG","XREALITY GROUP LTD","Consumer Services","18/01/2013",19877016
"XRO","XERO LIMITED","Software & Services","08/11/2012",19033247654
"XST","XSTATE RESOURCES LIMITED","Energy","14/01/1988",4822787
"XTC","XTC LITHIUM LIMITED","Materials","15/08/2007","SUSPENDED"
"YAL","YANCOAL AUSTRALIA LIMITED","Energy","28/06/2012",8120702538
"YAR","YARI MINERALS LIMITED","Materials","19/06/2006",1929431
"YOJ","YOJEE LIMITED","Software & Services","02/12/2010",11994583
"YOW","YOWIE GROUP LTD","Food, Beverage & Tobacco","15/09/1999",7110405
"YPB","YPB GROUP LTD","Commercial & Professional Services","07/03/2005",2423884
"YRL","YANDAL RESOURCES LIMITED","Materials","14/12/2018",33475952
"Z2U","ZOOM2U TECHNOLOGIES LIMITED","Software & Services","10/09/2021",14146373
"ZAG","ZULEIKA GOLD LIMITED","Materials","23/08/2010",15457796
"ZEO","ZEOTECH LIMITED","Materials","16/10/2009",57862961
"ZER","ZETA RESOURCES LIMITED","Not Applic","12/06/2013",127296167
"ZEU","ZEUS RESOURCES LIMITED","Energy","21/01/2013",4133529
"ZGL","ZICOM GROUP LIMITED","Capital Goods","12/11/1970",10298880
"ZIM","ZIMPLATS HOLDINGS LIMITED","Materials","15/10/1998",1802930621
"ZIP","ZIP CO LIMITED..","Financial Services","09/12/2009",1459024240
"ZLD","ZELIRA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/07/2003",5446634
"ZMI","ZINC OF IRELAND NL","Materials","18/09/2007",3623453
"ZMM","ZIMI LIMITED","Technology Hardware & Equipment","10/09/2007",3083701
"ZNC","ZENITH MINERALS LIMITED","Materials","29/05/2007",25723804
"ZNO","ZOONO GROUP LIMITED","Materials","21/07/1988",9689988
